0.914	2.633	0.1388	0.78	0.929
0.951	2.541	0.0286	1.098	1.153
0.767	2.694	0.1755	0.806	2.096
0.657	2.173	0.0367	0.7	1.198
0.816	2.908	0.0327	1.655	1.916
0.963	2.48	0.1918	1.39	1.467
0.571	1.745	0.1878	1.735	1.692
0.584	2.082	0.0163	1.602	2.41
0.669	2.847	0.0571	0.939	0.39
0.498	2.296	0.0735	0.886	2.365
0.645	1.5	0.1184	1.284	0.884
0.62	2.143	0.151	0.753	0.569
0.473	2.878	0.0694	1.496	2.231
0.878	2.204	0.1429	1.92	2.186
0.461	2.112	0.1796	1.443	0.659
0.939	1.714	0.1306	0.859	0.749
0.522	2.663	0.0041	1.257	1.288
0.424	1.99	0.0612	1.124	0.524
0.743	2.51	0.1714	1.973	1.018
0.682	1.776	0.1265	1.31	2.5
0.792	2.602	0.0122	1.708	0.614
0.596	2.449	0.0531	2	1.467
0.976	2.571	0.098	1.204	2.276
0.755	1.867	0.2	1.045	1.557
0.853	1.929	0.1061	0.727	2.006
0.804	2.265	0.0082	0.992	2.32
0.437	2.786	0.1592	1.761	1.378
0.718	2.969	0.0653	0.912	1.827
0.902	1.622	0.0449	1.788	0.704
0.559	1.898	0.0857	1.894	0.48
0.829	2.235	0.1673	1.363	0.345
0.89	1.592	0.0245	1.071	1.333
1	2.388	0.0939	1.814	1.063
0.718	2.939	0.1551	1.576	2.051
0.547	1.531	0.0408	1.018	1.871
0.78	2.02	0.049	1.178	0.3
0.449	1.806	0.1469	0.833	1.602
0.865	1.653	0.1633	1.841	0.839
0.535	2.357	0.1347	1.947	2.455
0.51	2.755	0.0816	1.629	0.435
0.486	2.418	0.1837	1.231	2.141
0.608	1.837	0	1.522	1.108
0.706	2.296	0.102	1.337	1.422
0.927	2.051	0.0204	1.682	1.961
0.988	1.684	0.1224	1.39	1.737
0.633	2.816	0.1959	1.151	0.973
0.694	1.561	0.0776	1.867	1.782
0.4	1.959	0.0898	1.549	1.647
0.841	3	0.1143	1.469	0.794
0.412	2.724	0.1061	0.965	1.243
